ID,Contains Link,Contains Money Words,Length,Class
931,Yes,Yes,Short,Spam
932,Yes,No,Short,Ham
933,Yes,No,Short,Spam
934,No,No,Long,Spam
935,Yes,No,Long,Ham
936,Yes,Yes,Short,Ham
937,Yes,Yes,Long,Ham
938,Yes,No,Long,Spam
939,Yes,No,Short,Spam
940,No,No,Long,Ham
941,No,Yes,Short,Spam
942,No,No,Long,Spam
943,No,No,Long,Spam
944,Yes,No,Short,Spam
945,Yes,Yes,Long,Spam
946,No,Yes,Short,Spam
947,No,Yes,Long,Spam
948,Yes,Yes,Long,Spam
949,No,No,Short,Ham
950,Yes,No,Long,Spam
951,No,No,Short,Ham
952,Yes,No,Short,Ham
953,No,No,Short,Ham
954,Yes,Yes,Short,Spam
955,No,Yes,Long,Ham
956,Yes,Yes,Short,Ham
957,Yes,Yes,Short,Spam
958,Yes,No,Long,Spam
959,No,No,Long,Spam
960,Yes,No,Short,Ham
961,No,Yes,Long,Ham
962,No,No,Long,Ham
963,No,Yes,Long,Ham
964,Yes,Yes,Long,Spam
965,Yes,No,Short,Spam
966,No,No,Short,Ham
967,Yes,Yes,Long,Ham
968,No,No,Short,Ham
969,No,No,Long,Spam
970,Yes,Yes,Short,Spam
971,No,Yes,Short,Ham
972,No,No,Short,Spam
973,Yes,No,Short,Spam
974,Yes,No,Long,Ham
975,No,Yes,Short,Spam
976,No,No,Short,Spam
977,No,No,Long,Spam
978,Yes,No,Long,Spam
979,No,Yes,Long,Ham
980,No,Yes,Long,Ham
981,Yes,No,Long,Ham
982,No,No,Long,Ham
983,No,No,Short,Spam
984,Yes,No,Long,Spam
985,No,Yes,Long,Spam
986,No,Yes,Long,Spam
987,Yes,Yes,Short,Spam
988,No,No,Long,Spam
989,No,Yes,Short,Ham
990,Yes,No,Short,Spam
991,Yes,No,Short,Ham
992,Yes,Yes,Long,Ham
993,No,Yes,Short,Spam
994,Yes,No,Long,Ham
995,No,No,Short,Spam
996,No,No,Short,Ham
997,No,Yes,Long,Ham
998,No,Yes,Short,Spam
999,No,Yes,Short,Ham
1000,No,Yes,Long,Ham
